code,timestamp_started,timestamp_ended,attacker_id,attacker_name,attacker_faction,attacker_factionname,defender_id,defender_name,defender_faction,defender_factionname,result,stealthed,respect,chain,raid,ranked_war,respect_gain,respect_loss,modifiers_fair_fight,modifiers_war,modifiers_retaliation,modifiers_group_attack,modifiers_overseas,modifiers_chain_bonus
b4bb8a3e7c64f85b9338bec1848c57ff,1682148667,1682148672,479105,mOsSieFieD,22968,Revolutionary Guerrillas,2167036,Ryukendo,44762,The Power Rangers,Attacked,0,6.93,576,0,1,6.93,1.73,1.57,2,1,1,1,1.44,1.17
f461fd487f3a62a912b1d2772ada3713,1682148686,1682148690,2678362,Stewart33,22968,Revolutionary Guerrillas,2481578,saltedpopcorn,44762,The Power Rangers,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
0738ef9411b081f9f871d42d59d17ab0,1682148740,1682148743,2070155,RUKittenMeRTNow,44762,The Power Rangers,2628492,Greshlyr,22968,Revolutionary Guerrillas,Attacked,1,2.41,3,0,1,2.41,0.6,1.03,2,1,1,1,1
f8e460f2601ad519e7fc0f5c015b9758,1682148778,1682148788,,,,,2669087,thekwebb,44762,The Power Rangers,Attacked,1,4.36,577,0,1,4.36,1.09,1.56,2,1,1,1,1.44
8f9cf1c91e47d528f93dba830f9771bc,1682148784,1682148788,2481578,saltedpopcorn,44762,The Power Rangers,2678362,Stewart33,22968,Revolutionary Guerrillas,Attacked,1,3.92,4,0,1,3.92,0.98,1.78,2,1,1,1,1
e5fec5a0585378516de36bf669036f9e,1682148868,1682148877,,,,,2865326,Ravensight,44762,The Power Rangers,Attacked,1,3.97,578,0,1,3.97,0.99,1.38,2,1,1,1,1.44
77bdf8e2c7bfc2989a752dd329f73ffe,1682148883,1682148887,2678362,Stewart33,22968,Revolutionary Guerrillas,2481578,saltedpopcorn,44762,The Power Rangers,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
410f16f22001f02b5b0a3e2dd16c83b2,1682148904,1682148910,,,,,2099194,GooGooSauce,44762,The Power Rangers,Attacked,1,4.35,579,0,1,4.35,1.09,1.26,2,1,1,1,1.44
d4d6854942d086f7ee6ef69d752b917d,1682149086,1682149093,,,,,2467799,YangGang,44762,The Power Rangers,Attacked,1,4.41,580,0,1,4.41,1.1,1.38,2,1,1,1,1.44
25ec50dc67f433b231e4ed79fdbd7fa8,1682149179,1682149184,2678362,Stewart33,22968,Revolutionary Guerrillas,2734648,Aditya30,44762,The Power Rangers,Attacked,0,5.11,581,0,1,5.11,1.28,1.6,2,1,1,1,1.44
8ba9855b1fe087cc6c74779c96a78db5,1682149220,1682149229,2575642,Transhumanist,44762,The Power Rangers,381788,calgon33,0,,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
3df8e3256aa97742699e7e8aa81c9912,1682149253,1682149260,2575642,Transhumanist,44762,The Power Rangers,381788,calgon33,0,,Attacked,0,4.08,1,0,0,4.08,1.02,3,1,1,1,1,1
562df252745e78e58da4bb039fdca086,1682149254,1682149257,,,,,2596997,busra,44762,The Power Rangers,Attacked,1,2.56,582,0,1,2.56,0.64,1.02,2,1,1,1,1.44
0502a886b76094a6a07faa35c204186b,1682149268,1682149271,,,,,2675997,112,44762,The Power Rangers,Attacked,1,2.91,583,0,1,2.91,0.73,1.04,2,1,1,1,1.44
